DATE,WPU08
2011-06-01,193.4
2011-07-01,193.6
2011-08-01,194.7
2011-09-01,194.3
2011-10-01,195.8
2011-11-01,195.3
2011-12-01,195.8
2012-01-01,196.3
2012-02-01,197.8
2012-03-01,199.8
2012-04-01,200.4
2012-05-01,202.3
2012-06-01,202.3
2012-07-01,201.1
2012-08-01,202.7
2012-09-01,203.3
2012-10-01,202.1
2012-11-01,204.9
2012-12-01,206.5
2013-01-01,210.7
2013-02-01,213.1
2013-03-01,216.0
2013-04-01,218.0
2013-05-01,215.6
2013-06-01,213.2
2013-07-01,212.4
2013-08-01,214.1
2013-09-01,214.5
2013-10-01,215.9
2013-11-01,217.1
2013-12-01,217.6
2014-01-01,220.2
2014-02-01,222.1
2014-03-01,223.5
2014-04-01,223.0
2014-05-01,224.2
2014-06-01,224.3
2014-07-01,224.7
2014-08-01,226.0
2014-09-01,226.7
2014-10-01,225.6
2014-11-01,225.2
2014-12-01,224.4
2015-01-01,225.1
2015-02-01,224.6
2015-03-01,223.9
2015-04-01,224.0
2015-05-01,222.5
2015-06-01,222.0
2015-07-01,222.0
2015-08-01,220.6
2015-09-01,219.0
2015-10-01,219.8
2015-11-01,220.0
2015-12-01,219.5
2016-01-01,219.8
2016-02-01,219.7
2016-03-01,221.0
2016-04-01,222.4
2016-05-01,222.9
2016-06-01,223.4
2016-07-01,224.0
2016-08-01,224.6
2016-09-01,223.9
2016-10-01,223.9
2016-11-01,223.2
2016-12-01,223.3
2017-01-01,223.4
2017-02-01,226.2
2017-03-01,227.7
2017-04-01,229.6
2017-05-01,230.1
2017-06-01,229.9
2017-07-01,230.1
2017-08-01,231.6
2017-09-01,231.7
2017-10-01,234.4
2017-11-01,234.8
2017-12-01,235.6
2018-01-01,237.3
2018-02-01,242.4
2018-03-01,244.7
2018-04-01,244.8
2018-05-01,249.7
2018-06-01,253.0
2018-07-01,250.8
2018-08-01,246.2
2018-09-01,244.3
2018-10-01,239.8
2018-11-01,236.6
2018-12-01,236.8
2019-01-01,236.9
2019-02-01,238.7
2019-03-01,238.3
2019-04-01,238.9
2019-05-01,238.1
2019-06-01,235.9
2019-07-01,236.6
